id,name,name_en,name_zh,price,price_with_tax,calorie,salt,category,category_en,category_zh,genre,is_alcohol,icon,pre_id
1202,小エビのサラダ,Shrimp Salad,小甜虾沙拉,319,350,192,1.5,グランド,Grand Menu,主,サラダ,false,🍤,SA02
1205,わかめのサラダ,Seaweed Salad,海藻沙拉,319,350,174,2.9,グランド,Grand Menu,主,サラダ,false,🥗,SA05
1207,モッツァレラのサラダ,Green Salad with Buffalo Mozzarella Cheese,水牛马苏里拉芝士蔬菜沙拉,364,400,243,0.6,グランド,Grand Menu,主,サラダ,false,🥗,SA07
1208,グリーンサラダ,Green Salad,绿色的沙拉,319,350,166,0.7,グランド,Grand Menu,主,サラダ,false,🥗,SA08
1209,チキンのサラダ,Chicken Salad,鸡肉沙拉,319,350,224,1.3,グランド,Grand Menu,主,サラダ,false,🥗,SA03
1301,コーンクリームスープ,Creamy Corn Soup,奶油玉米浓汤,137,150,154,1.0,グランド,Grand Menu,主,スープ,false,🥣,SU01
1305,田舎風ミネストローネ,Country-style Minestrone,田园风蔬菜汤,273,300,227,3.0,グランド,Grand Menu,主,スープ,false,🥣,SU05
1307,たまねぎのズッパ,"Onion soup, Zuppa",洋葱面包汤,273,300,228,2.0,グランド,Grand Menu,主,スープ,false,🥣,SU07
1401,辛味チキン,Spicy Grilled Chicken,香辣鸡翅,273,300,295,1.8,グランド,Grand Menu,主,前菜・おつまみ,false,🍗,AA01
1402,アロスティチーニ（ラムの串焼き）,Arrosticini (Lamb skewers),意式羊肉串（烤羊肉串）,364,400,224,0.6,グランド,Grand Menu,主,前菜・おつまみ,false,🍢,AA02
1403,ほうれん草のソテー,Sauteed Spinach（Salt Oil Sauce）,炖煮菠菜（盐油酱）,182,200,223,1.2,グランド,Grand Menu,主,前菜・おつまみ,false,🥬,AA03
1404,ポップコーンシュリンプ,Popcorn Shrimp,炸小甜虾,273,300,234,1.2,グランド,Grand Menu,主,前菜・おつまみ,false,🍤,AA04
1405,エスカルゴのオーブン焼き,Grilled Escargots,蒜香焗蜗牛,364,400,220,1.3,グランド,Grand Menu,主,前菜・おつまみ,false,🥘,AA05
1406,小エビのカクテル,"Shrimp with ""SAIZERIYA"" Dressing",虾佐“SAIZERIYA”酱汁,255,280,126,2.3,グランド,Grand Menu,主,前菜・おつまみ,false,🍤,AA06
1407,チョリソー（辛味ソーセージ）,Grilled Spicy Sausages,口利左香肠（辣猪肉香肠）,364,400,425,2.9,グランド,Grand Menu,主,前菜・おつまみ,false,🌭,AA07
1408,蒸し鶏の香味ソース,Chicken with Flavored Vegetable Sauce（Limited to some stores）,鸡肉蔬菜酱（限部分店鋪）,255,280,192,2.4,グランド,Grand Menu,主,前菜・おつまみ,false,🐔,AA08
1410,ムール貝のガーリック焼き,Grilled Mussels with Vegetable Salsa,蒜香烤蛤蜊,364,400,170,1.4,グランド,Grand Menu,主,前菜・おつまみ,false,🦪,AA10
1411,アスパラガスの温サラダ,Asparagus with  Cheese ,芦笋配山核桃奶酪,273,300,80,0.7,グランド,Grand Menu,主,前菜・おつまみ,false,🥗,AA09
1413,爽やかにんじんサラダ,Refreshing Carrot Salad,爽口胡萝卜沙拉,182,200,93,0.9,グランド,Grand Menu,主,前菜・おつまみ,false,🥕,AA13
1414,モッツァレラトマト,Buffalo Mozzarella Cheese &  Tomato,布法罗马苏里拉奶酪和番茄,391,430,255,0.2,グランド,Grand Menu,主,前菜・おつまみ,false,🍅,AA14
1415,カリッとポテト,Crispy Potatoes,酥烤马铃薯,255,280,389,2.1,グランド,Grand Menu,主,前菜・おつまみ,false,🥔,AA15
